GEOID,NAME,population,state,county,tract,year,source
16055000001,"Census Tract 1, Kootenai County, Idaho",4748,16,055,0001,2000,dec_sf1
16055000002,"Census Tract 2, Kootenai County, Idaho",7214,16,055,0002,2000,dec_sf1
16055000003,"Census Tract 3, Kootenai County, Idaho",8967,16,055,0003,2000,dec_sf1
16055000004,"Census Tract 4, Kootenai County, Idaho",8494,16,055,0004,2000,dec_sf1
16055000005,"Census Tract 5, Kootenai County, Idaho",7348,16,055,0005,2000,dec_sf1
16055000006,"Census Tract 6, Kootenai County, Idaho",9102,16,055,0006,2000,dec_sf1
16055000007,"Census Tract 7, Kootenai County, Idaho",7049,16,055,0007,2000,dec_sf1
16055000008,"Census Tract 8, Kootenai County, Idaho",4228,16,055,0008,2000,dec_sf1
16055000009,"Census Tract 9, Kootenai County, Idaho",4710,16,055,0009,2000,dec_sf1
16055000010,"Census Tract 10, Kootenai County, Idaho",8921,16,055,0010,2000,dec_sf1
16055000011,"Census Tract 11, Kootenai County, Idaho",2015,16,055,0011,2000,dec_sf1
16055000012,"Census Tract 12, Kootenai County, Idaho",4856,16,055,0012,2000,dec_sf1
16055000013,"Census Tract 13, Kootenai County, Idaho",3791,16,055,0013,2000,dec_sf1
16055000014,"Census Tract 14, Kootenai County, Idaho",2980,16,055,0014,2000,dec_sf1
16055000015,"Census Tract 15, Kootenai County, Idaho",3249,16,055,0015,2000,dec_sf1
16055000016,"Census Tract 16, Kootenai County, Idaho",2745,16,055,0016,2000,dec_sf1
16055000017,"Census Tract 17, Kootenai County, Idaho",3941,16,055,0017,2000,dec_sf1
16055000018,"Census Tract 18, Kootenai County, Idaho",6543,16,055,0018,2000,dec_sf1
16055000019,"Census Tract 19, Kootenai County, Idaho",2857,16,055,0019,2000,dec_sf1
16055000020,"Census Tract 20, Kootenai County, Idaho",2841,16,055,0020,2000,dec_sf1
16055000021,"Census Tract 21, Kootenai County, Idaho",2086,16,055,0021,2000,dec_sf1
16055000100,"Census Tract 1, Kootenai County, Idaho",6270,16,055,000100,2010,dec_sf1
16055000200,"Census Tract 2, Kootenai County, Idaho",8703,16,055,000200,2010,dec_sf1
16055000301,"Census Tract 3.01, Kootenai County, Idaho",5316,16,055,000301,2010,dec_sf1
16055000302,"Census Tract 3.02, Kootenai County, Idaho",6415,16,055,000302,2010,dec_sf1
16055000401,"Census Tract 4.01, Kootenai County, Idaho",5834,16,055,000401,2010,dec_sf1
16055000402,"Census Tract 4.02, Kootenai County, Idaho",7394,16,055,000402,2010,dec_sf1
16055000500,"Census Tract 5, Kootenai County, Idaho",11586,16,055,000500,2010,dec_sf1
16055000601,"Census Tract 6.01, Kootenai County, Idaho",4352,16,055,000601,2010,dec_sf1
16055000602,"Census Tract 6.02, Kootenai County, Idaho",5727,16,055,000602,2010,dec_sf1
16055000700,"Census Tract 7, Kootenai County, Idaho",16345,16,055,000700,2010,dec_sf1
16055000800,"Census Tract 8, Kootenai County, Idaho",4208,16,055,000800,2010,dec_sf1
16055000900,"Census Tract 9, Kootenai County, Idaho",4782,16,055,000900,2010,dec_sf1
16055001001,"Census Tract 10.01, Kootenai County, Idaho",5910,16,055,001001,2010,dec_sf1
16055001002,"Census Tract 10.02, Kootenai County, Idaho",4197,16,055,001002,2010,dec_sf1
16055001100,"Census Tract 11, Kootenai County, Idaho",2038,16,055,001100,2010,dec_sf1
16055001200,"Census Tract 12, Kootenai County, Idaho",6450,16,055,001200,2010,dec_sf1
16055001300,"Census Tract 13, Kootenai County, Idaho",3947,16,055,001300,2010,dec_sf1
16055001400,"Census Tract 14, Kootenai County, Idaho",2796,16,055,001400,2010,dec_sf1
16055001500,"Census Tract 15, Kootenai County, Idaho",3178,16,055,001500,2010,dec_sf1
16055001600,"Census Tract 16, Kootenai County, Idaho",2592,16,055,001600,2010,dec_sf1
16055001700,"Census Tract 17, Kootenai County, Idaho",4162,16,055,001700,2010,dec_sf1
16055001800,"Census Tract 18, Kootenai County, Idaho",8251,16,055,001800,2010,dec_sf1
16055001900,"Census Tract 19, Kootenai County, Idaho",2621,16,055,001900,2010,dec_sf1
16055002000,"Census Tract 20, Kootenai County, Idaho",3196,16,055,002000,2010,dec_sf1
16055940000,"Census Tract 9400, Kootenai County, Idaho",2224,16,055,940000,2010,dec_sf1
16055000200,"Census Tract 2, Kootenai County, Idaho",8657,16,055,000200,2015,acs5_2015
16055000700,"Census Tract 7, Kootenai County, Idaho",16498,16,055,000700,2015,acs5_2015
16055000100,"Census Tract 1, Kootenai County, Idaho",6301,16,055,000100,2015,acs5_2015
16055001600,"Census Tract 16, Kootenai County, Idaho",2932,16,055,001600,2015,acs5_2015
16055001900,"Census Tract 19, Kootenai County, Idaho",2584,16,055,001900,2015,acs5_2015
16055000500,"Census Tract 5, Kootenai County, Idaho",11853,16,055,000500,2015,acs5_2015
16055000900,"Census Tract 9, Kootenai County, Idaho",4897,16,055,000900,2015,acs5_2015
16055001300,"Census Tract 13, Kootenai County, Idaho",4591,16,055,001300,2015,acs5_2015
16055000301,"Census Tract 3.01, Kootenai County, Idaho",5703,16,055,000301,2015,acs5_2015
16055000302,"Census Tract 3.02, Kootenai County, Idaho",6761,16,055,000302,2015,acs5_2015
16055000401,"Census Tract 4.01, Kootenai County, Idaho",6056,16,055,000401,2015,acs5_2015
16055000402,"Census Tract 4.02, Kootenai County, Idaho",7633,16,055,000402,2015,acs5_2015
16055000601,"Census Tract 6.01, Kootenai County, Idaho",4491,16,055,000601,2015,acs5_2015
16055000602,"Census Tract 6.02, Kootenai County, Idaho",6000,16,055,000602,2015,acs5_2015
16055001001,"Census Tract 10.01, Kootenai County, Idaho",6622,16,055,001001,2015,acs5_2015
16055001002,"Census Tract 10.02, Kootenai County, Idaho",4341,16,055,001002,2015,acs5_2015
16055940000,"Census Tract 9400, Kootenai County, Idaho",2654,16,055,940000,2015,acs5_2015
16055001500,"Census Tract 15, Kootenai County, Idaho",3107,16,055,001500,2015,acs5_2015
16055001100,"Census Tract 11, Kootenai County, Idaho",2059,16,055,001100,2015,acs5_2015
16055001200,"Census Tract 12, Kootenai County, Idaho",6955,16,055,001200,2015,acs5_2015
16055001400,"Census Tract 14, Kootenai County, Idaho",2811,16,055,001400,2015,acs5_2015
16055001700,"Census Tract 17, Kootenai County, Idaho",4747,16,055,001700,2015,acs5_2015
16055001800,"Census Tract 18, Kootenai County, Idaho",8577,16,055,001800,2015,acs5_2015
16055000800,"Census Tract 8, Kootenai County, Idaho",4529,16,055,000800,2015,acs5_2015
16055002000,"Census Tract 20, Kootenai County, Idaho",3687,16,055,002000,2015,acs5_2015
16055000101,"Census Tract 1.01, Kootenai County, Idaho",3051,16,055,000101,2020,dec_pl
16055000102,"Census Tract 1.02, Kootenai County, Idaho",4722,16,055,000102,2020,dec_pl
16055000201,"Census Tract 2.01, Kootenai County, Idaho",3561,16,055,000201,2020,dec_pl
16055000202,"Census Tract 2.02, Kootenai County, Idaho",3514,16,055,000202,2020,dec_pl
16055000203,"Census Tract 2.03, Kootenai County, Idaho",3486,16,055,000203,2020,dec_pl
16055000301,"Census Tract 3.01, Kootenai County, Idaho",7280,16,055,000301,2020,dec_pl
16055000303,"Census Tract 3.03, Kootenai County, Idaho",5689,16,055,000303,2020,dec_pl
16055000304,"Census Tract 3.04, Kootenai County, Idaho",3224,16,055,000304,2020,dec_pl
16055000401,"Census Tract 4.01, Kootenai County, Idaho",7020,16,055,000401,2020,dec_pl
16055000402,"Census Tract 4.02, Kootenai County, Idaho",9289,16,055,000402,2020,dec_pl
16055000501,"Census Tract 5.01, Kootenai County, Idaho",6254,16,055,000501,2020,dec_pl
16055000502,"Census Tract 5.02, Kootenai County, Idaho",6296,16,055,000502,2020,dec_pl
16055000503,"Census Tract 5.03, Kootenai County, Idaho",4384,16,055,000503,2020,dec_pl
16055000601,"Census Tract 6.01, Kootenai County, Idaho",4774,16,055,000601,2020,dec_pl
16055000602,"Census Tract 6.02, Kootenai County, Idaho",6462,16,055,000602,2020,dec_pl
16055000701,"Census Tract 7.01, Kootenai County, Idaho",4966,16,055,000701,2020,dec_pl
16055000702,"Census Tract 7.02, Kootenai County, Idaho",4850,16,055,000702,2020,dec_pl
16055000703,"Census Tract 7.03, Kootenai County, Idaho",7972,16,055,000703,2020,dec_pl
16055000704,"Census Tract 7.04, Kootenai County, Idaho",5688,16,055,000704,2020,dec_pl
16055000800,"Census Tract 8, Kootenai County, Idaho",5897,16,055,000800,2020,dec_pl
16055000901,"Census Tract 9.01, Kootenai County, Idaho",3448,16,055,000901,2020,dec_pl
16055000902,"Census Tract 9.02, Kootenai County, Idaho",3099,16,055,000902,2020,dec_pl
16055001002,"Census Tract 10.02, Kootenai County, Idaho",4890,16,055,001002,2020,dec_pl
16055001003,"Census Tract 10.03, Kootenai County, Idaho",2322,16,055,001003,2020,dec_pl
16055001004,"Census Tract 10.04, Kootenai County, Idaho",4154,16,055,001004,2020,dec_pl
16055001100,"Census Tract 11, Kootenai County, Idaho",2204,16,055,001100,2020,dec_pl
16055001201,"Census Tract 12.01, Kootenai County, Idaho",3322,16,055,001201,2020,dec_pl
16055001202,"Census Tract 12.02, Kootenai County, Idaho",3236,16,055,001202,2020,dec_pl
16055001300,"Census Tract 13, Kootenai County, Idaho",4173,16,055,001300,2020,dec_pl
16055001400,"Census Tract 14, Kootenai County, Idaho",2681,16,055,001400,2020,dec_pl
16055001500,"Census Tract 15, Kootenai County, Idaho",3294,16,055,001500,2020,dec_pl
16055001600,"Census Tract 16, Kootenai County, Idaho",2778,16,055,001600,2020,dec_pl
16055001700,"Census Tract 17, Kootenai County, Idaho",4769,16,055,001700,2020,dec_pl
16055001801,"Census Tract 18.01, Kootenai County, Idaho",3085,16,055,001801,2020,dec_pl
16055001802,"Census Tract 18.02, Kootenai County, Idaho",6024,16,055,001802,2020,dec_pl
